idx,method,ws,bpr,mae
0,SAD,7,33.51650857351331,8.314892
0,SAD,15,24.871169281284203,6.3741174
0,SSD,7,33.123175848230574,8.207484
0,SSD,15,23.477973367384166,5.807014
0,NCC,7,19.501322510032836,3.6894085
0,NCC,15,11.85926669098869,1.8899378
1,SAD,7,32.02491213854315,7.001358
1,SAD,15,22.710184391282638,4.7691383
1,SSD,7,29.951099092647905,6.5437107
1,SSD,15,20.315076366445876,4.39166
1,NCC,7,10.839230022707358,2.4956748
1,NCC,15,7.856180452828056,1.7602845
2,SAD,7,43.406741573033706,10.441514
2,SAD,15,32.5812734082397,8.4615755
2,SSD,7,42.45593008739076,10.211402
2,SSD,15,30.902372034956304,8.144156
2,NCC,7,29.934581772784018,6.526741
2,NCC,15,13.901622971285892,2.6335125
3,SAD,7,51.61549503995886,16.295004
3,SAD,15,40.629485998328796,12.758718
3,SSD,7,49.01656203800913,15.380177
3,SSD,15,37.78951428020483,11.667357
3,NCC,7,18.200029995929125,4.0790906
3,NCC,15,14.276990979795597,2.800952
4,SAD,7,37.260850263196836,7.6464157
4,SAD,15,27.596558357820854,5.8616104
4,SSD,7,36.412066887935225,7.554308
4,SSD,15,26.652643595543623,5.6838255
4,NCC,7,30.031921865420795,5.9380507
4,NCC,15,18.919518846584783,3.475622
5,SAD,7,39.13811645414042,7.902628
5,SAD,15,28.45620349845269,5.702349
5,SSD,7,38.263503281171126,7.6977854
5,SSD,15,27.37857472071637,5.4710884
5,NCC,7,28.671290301341003,5.56079
5,NCC,15,17.073063670083183,3.0683422
6,SAD,7,43.352553767113925,8.356475
6,SAD,15,35.19798868636078,5.994861
6,SSD,7,42.51086273330965,8.176885
6,SSD,15,34.390912651782216,5.8817816
6,NCC,7,36.07520564042303,6.8989544
6,NCC,15,27.405970176445404,4.178736
7,SAD,7,41.328011611030476,10.630422
7,SAD,15,31.03810799746939,9.0469475
7,SSD,7,38.69040973540248,10.039141
7,SSD,15,28.563321052435715,8.569087
7,NCC,7,8.745487700494957,2.319653
7,NCC,15,6.21301775147929,1.3987935
8,SAD,7,27.335170242078334,5.5395308
8,SAD,15,15.4802204290494,3.6805558
8,SSD,7,24.821885455618972,5.104207
8,SSD,15,14.00905333595749,3.4499383
8,NCC,7,10.136784097618579,2.1739779
8,NCC,15,7.583152922653021,1.8977538
9,SAD,7,30.51253493601194,5.7602496
9,SAD,15,17.189568579654107,3.5253565
9,SSD,7,28.06438733267489,5.1773243
