Sequence,Case,ATE (m),RPE (m/frame)
00,Full,58.8060,0.0329
00,No_RANSAC,2408343955899.4263,583471671.9087
00,No_Stereo_Scale,141.1526,0.2581
01,Full,197.3454,0.4439
01,No_RANSAC,25949466.1830,73615.1117
01,No_Stereo_Scale,728.7424,1.2591
02,Full,76.5142,0.0376
02,No_RANSAC,1503387235147.6345,2402499455.5076
02,No_Stereo_Scale,152.5210,0.2183
03,Full,8.1627,0.0269
03,No_RANSAC,842499691702.4796,1326346351.8022
03,No_Stereo_Scale,96.9481,0.3006
04,Full,2.4274,0.0611
04,No_RANSAC,488.9355,69.2740
04,No_Stereo_Scale,54.7646,0.4591
05,Full,10.4162,0.0323
05,No_RANSAC,161383060317.3578,70895774.0382
05,No_Stereo_Scale,92.7785,0.2632
06,Full,18.0409,0.0663
06,No_RANSAC,52085847.7773,49062.7399
06,No_Stereo_Scale,30.8049,0.2894
07,Full,14.3162,0.0314
07,No_RANSAC,3932203.1983,5563.4812
07,No_Stereo_Scale,72.3963,0.3923
08,Full,50.5125,0.0376
08,No_RANSAC,297133991.0150,129067.3826
08,No_Stereo_Scale,224.9981,0.2765
09,Full,109.2482,0.0439
09,No_RANSAC,219772397313.3683,1395345916.2197
09,No_Stereo_Scale,117.7765,0.2192
10,Full,9.3495,0.0292
10,No_RANSAC,4963665159.9988,14792733.0625
10,No_Stereo_Scale,78.7114,0.3105
